seller,type,name,link
,,,
chjj30,Mat01,11 x Flower Vase,mat
chjj30,Mat02,11 x Bubble-Gum,mat
Treesion,Mat03,10 x Crystallized Phazon,mat
Treesion,Mat04,20 x Shade Fragment,mat
Treesion,Mat05,20 x Voidseeker Shard,mat
Treesion,Mat06,20 x Aether Shard,mat
Treesion,Mat07,10 x Amnesia Shard,mat
,,,
Bolide,One01,Peerless Arctic Rapier of Balance,https://hentaiverse.org/isekai/equip/376664/f2b33e3cb9
稗田阿一,One02,Legendary Ethereal Rapier of Slaughter,https://hentaiverse.org/isekai/equip/379584/42641e0b94
youshi1,One03,Legendary Ethereal Axe of Slaughter,https://hentaiverse.org/isekai/equip/70573/5cde3043b3
Ming28561,One04,Legendary Ethereal Axe of Slaughter,https://hentaiverse.org/isekai/equip/35732/b1f4c13bc0
ryuseii,One05,Legendary Demonic Shortsword of Slaughter,https://hentaiverse.org/isekai/equip/349276/180bfbfc00
Treesion,One06,Legendary Hallowed Rapier of Balance,https://hentaiverse.org/isekai/equip/363495/73431e2a80
youshi1,One07,Legendary Ethereal Wakizashi of Balance,https://hentaiverse.org/isekai/equip/357335/34b2b7938d
Treesion,One08,Magnificent Demonic Rapier of Slaughter,https://hentaiverse.org/isekai/equip/360925/6933991a33
youshi1,One09,Legendary Ethereal Katana of Balance,https://hentaiverse.org/isekai/equip/281097/0b7937733d
稗田阿一,One10,Magnificent Hallowed Wakizashi of the Nimble,https://hentaiverse.org/isekai/equip/337009/21ec4e65c4
稗田阿一,One11,Magnificent Demonic Wakizashi of the Nimble,https://hentaiverse.org/isekai/equip/349816/b83d6d062d
,,,
youshi1,Sta01,Legendary Shocking Willow Staff of Destruction,https://hentaiverse.org/isekai/equip/338402/d9317eb46d
Ming28571,Sta02,Legendary Hallowed Katalox Staff of Destruction,https://hentaiverse.org/isekai/equip/371125/78c38e4aa9
Grandmasters,Sta03,Legendary Arctic Willow Staff of Focus,https://hentaiverse.org/isekai/equip/363743/1e6318f7be
稗田阿一,Sta04,Magnificent Shocking Willow Staff of Destruction,https://hentaiverse.org/isekai/equip/379230/562966cb94
稗田阿一,Sta05,Magnificent Tempestuous Katalox Staff of Destruction,https://hentaiverse.org/isekai/equip/379700/4e473edb5a
,,,
youshi1,Shd01,Legendary Agile Kite Shield of Deflection,https://hentaiverse.org/isekai/equip/243866/719d0f3ae0
youshi1,Shd02,Magnificent Mithril Buckler of the Nimble,https://hentaiverse.org/isekai/equip/367627/a840b76495
youshi2,Shd03,Magnificent Reinforced Buckler of Protection,https://hentaiverse.org/isekai/equip/344664/89d6d4e444
,,,
Ming28562,Clo01,Legendary Ruby Phase Cap of Surtr,https://hentaiverse.org/isekai/equip/130356/3bda0982e7
Ming28563,Clo02,Legendary Cobalt Phase Robe of Surtr,https://hentaiverse.org/isekai/equip/310288/2a57af5e34
Treesion,Clo03,Legendary Cobalt Phase Gloves of Niflheim,https://hentaiverse.org/isekai/equip/305868/b46206c8b0
ryuseii,Clo04,Legendary Charged Cotton Pants of the Demon-fiend,https://hentaiverse.org/isekai/equip/315957/f2b50423cf
Ming28561,Clo05,Legendary Zircon Cotton Shoes of the Heaven-sent,https://hentaiverse.org/isekai/equip/394721/32fd692982
Ming28566,Clo06,Legendary Onyx Cotton Gloves of the Heaven-sent,https://hentaiverse.org/isekai/equip/348863/7a3415512d
youshi1,Clo07,Legendary Cobalt Phase Gloves of Heimdall,https://hentaiverse.org/isekai/equip/294885/c4c50a6fe2
ryuseii,Clo08,Magnificent Charged Phase Gloves of Surtr,https://hentaiverse.org/isekai/equip/393138/16a381e51c
ryuseii,Clo09,Magnificent Charged Phase Gloves of Niflheim,https://hentaiverse.org/isekai/equip/331786/1842d53b58
Treesion,Clo10,Magnificent Zircon Phase Gloves of Mjolnir,https://hentaiverse.org/isekai/equip/340621/3d937d3a23
Treesion,Clo11,Magnificent Phase Shoes of Heimdall,https://hentaiverse.org/isekai/equip/316163/7ca3eaef60
Ming28572,Clo12,Magnificent Radiant Phase Gloves of Heimdall,https://hentaiverse.org/isekai/equip/361173/5881f9a88c
稗田阿一,Clo13,Magnificent Charged Phase Pants of Heimdall,https://hentaiverse.org/isekai/equip/334036/36629a0a3a
Treesion,Clo14,Magnificent Charged Cotton Robe of the Demon-fiend,https://hentaiverse.org/isekai/equip/349161/d206454a9b
Ming28564,Clo15,Magnificent Charged Cotton Robe of the Elementalist,https://hentaiverse.org/isekai/equip/309492/d838c2c1e5
