chjj30,Mat01,11 x Flower Vase,,
chjj30,Mat02,11 x Bubble-Gum,,
Treesion,Mat03,10 x Crystallized Phazon,,
Treesion,Mat04,20 x Shade Fragment,,
Treesion,Mat05,20 x Voidseeker Shard,,
Treesion,Mat06,20 x Aether Shard,,
Treesion,Mat07,10 x Amnesia Shard,,
Bolide,One01,Peerless Arctic Rapier of Balance,https://hentaiverse.org/isekai/equip/376664/f2b33e3cb9,"ADB 100%, Parry 100%"
稗田阿一,One02,Legendary Ethereal Rapier of Slaughter,https://hentaiverse.org/isekai/equip/379584/42641e0b94,"Parry 52%, Dex 69%"
youshi1,One03,Legendary Ethereal Axe of Slaughter,https://hentaiverse.org/isekai/equip/70573/5cde3043b3,Str 91%
Ming28561,One04,Legendary Ethereal Axe of Slaughter,https://hentaiverse.org/isekai/equip/35732/b1f4c13bc0,"ADB 66%, Dex 80%"
ryuseii,One05,Legendary Demonic Shortsword of Slaughter,https://hentaiverse.org/isekai/equip/349276/180bfbfc00,"Str 74%, Dex 84%"
Treesion,One06,Legendary Hallowed Rapier of Balance,https://hentaiverse.org/isekai/equip/363495/73431e2a80,Parry 77%
youshi1,One07,Legendary Ethereal Wakizashi of Balance,https://hentaiverse.org/isekai/equip/357335/34b2b7938d,
Treesion,One08,Magnificent Demonic Rapier of Slaughter,https://hentaiverse.org/isekai/equip/360925/6933991a33,"Parry 57%, Agi 62%"
youshi1,One09,Legendary Ethereal Katana of Balance,https://hentaiverse.org/isekai/equip/281097/0b7937733d,"ADB 76%, Str 65%"
稗田阿一,One10,Magnificent Hallowed Wakizashi of the Nimble,https://hentaiverse.org/isekai/equip/337009/21ec4e65c4,"Parry 64%, Str 74%"
稗田阿一,One11,Magnificent Demonic Wakizashi of the Nimble,https://hentaiverse.org/isekai/equip/349816/b83d6d062d,"ADB 66%, Agi 69%"
youshi1,Sta01,Legendary Shocking Willow Staff of Destruction,https://hentaiverse.org/isekai/equip/338402/d9317eb46d,"Int 57%, Burden 56%"
Ming28571,Sta02,Legendary Hallowed Katalox Staff of Destruction,https://hentaiverse.org/isekai/equip/371125/78c38e4aa9,Burden 59%
Grandmasters,Sta03,Legendary Arctic Willow Staff of Focus,https://hentaiverse.org/isekai/equip/363743/1e6318f7be,MDB 56%
稗田阿一,Sta04,Magnificent Shocking Willow Staff of Destruction,https://hentaiverse.org/isekai/equip/379230/562966cb94,"MDB 78%, Int 89%"
稗田阿一,Sta05,Magnificent Tempestuous Katalox Staff of Destruction,https://hentaiverse.org/isekai/equip/379700/4e473edb5a,"Wis 71%, Depr Prof 96%"
youshi1,Shd01,Legendary Agile Kite Shield of Deflection,https://hentaiverse.org/isekai/equip/243866/719d0f3ae0,"Mmit 84%, Dex 71%"
youshi1,Shd02,Magnificent Mithril Buckler of the Nimble,https://hentaiverse.org/isekai/equip/367627/a840b76495,"BLK 93%, Agi 61%"
youshi2,Shd03,Magnificent Reinforced Buckler of Protection,https://hentaiverse.org/isekai/equip/344664/89d6d4e444,"BLK 61%, Mmit 83%"
Ming28562,Clo01,Legendary Ruby Phase Cap of Surtr,https://hentaiverse.org/isekai/equip/130356/3bda0982e7,"Wis 56%, Agi 82%"
Ming28563,Clo02,Legendary Cobalt Phase Robe of Surtr,https://hentaiverse.org/isekai/equip/310288/2a57af5e34,"Int 68%, Crus 87%"
Treesion,Clo03,Legendary Cobalt Phase Gloves of Niflheim,https://hentaiverse.org/isekai/equip/305868/b46206c8b0,"Int 87%, Evd 87%"
