seller,type,name,link
OnceForAll,Mat01,10 x Flower Vase,mat
OnceForAll,Mat02,10 x Bubble-Gum,mat
OnceForAll,Mat03,10 x Crystallized Phazon,mat
OnceForAll,Mat04,10 x Repurposed Actuator,mat
unikwind,Mat05,20 x Crystallized Phazon,mat
unikwind,Mat06,100 x High-Grade Cloth,mat
OnceForAll,Mat07,45 x High-Grade Cloth,mat
,,,
司徒雨停,One01,Peerless Ethereal Wakizashi of the Nimble,https://hentaiverse.org/isekai/equip/415464/7d29a3b5f2
drgoku,One02,Legendary Demonic Wakizashi of the Nimble,https://hentaiverse.org/isekai/equip/252066/f0f7c2979a 
Grandmasters,One03,Legendary Ethereal Axe of Slaughter,https://hentaiverse.org/isekai/equip/70573/5cde3043b3
Grandmasters,One04,Legendary Ethereal Axe of Slaughter,https://hentaiverse.org/isekai/equip/35732/b1f4c13bc0
Maharid,One05,Magnificent Ethereal Wakizashi of Swiftness,https://hentaiverse.org/isekai/equip/390461/28374cd1a3
Maharid,One06,Magnificent Rapier of Slaughter,https://hentaiverse.org/isekai/equip/123748/df2ab7ee2e
drgoku,Shd01,Legendary Mithril Buckler of Protection,https://hentaiverse.org/isekai/equip/363575/e556460095 
drgoku,Shd02,Legendary Agile Buckler of Warding,https://hentaiverse.org/isekai/equip/330742/af7ec860b7 
unikwind,Shd03,Legendary Agile Kite Shield of Warding,https://hentaiverse.org/isekai/equip/403042/3fcb50f0cd
Maharid,Shd04,Magnificent Mithril Buckler of the Nimble,https://hentaiverse.org/isekai/equip/264066/8dadc0402a
,,,
drgoku,Sta01,Magnificent Fiery Redwood Staff of Surtr,https://hentaiverse.org/isekai/equip/352510/6b376eb9a7 
drgoku,Clo01,Magnificent Frugal Phase Pants of Mjolnir,https://hentaiverse.org/isekai/equip/352871/ee822818d5 
,,,
,,,
unikwind,Lig01,Legendary Savage Shade Breastplate of the Fleet,https://hentaiverse.org/isekai/equip/376290/eee2670cc8
SleepDealer,Lig02,Legendary Savage Shade Boots of Negation,https://hentaiverse.org/isekai/equip/389576/7124e17975
Pretty anon,Hea01,Legendary Jade Power Helmet of Slaughter,https://hentaiverse.org/isekai/equip/274856/aacddffb28
Maharid,Hea02,Legendary Amber Power Gauntlets of Warding,https://hentaiverse.org/isekai/equip/394853/44798ffb9c
Maharid,Hea03,Legendary Cobalt Plate Helmet of Protection,https://hentaiverse.org/isekai/equip/394893/8a8bbb8970
Maharid,Hea04,Legendary Ruby Plate Sabatons of Warding,https://hentaiverse.org/isekai/equip/415768/e139d8525c
drgoku,Hea05,Legendary Onyx Plate Greaves of Warding,https://hentaiverse.org/isekai/equip/254257/ed8a15de39 
drgoku,Hea06,Legendary Mithril Plate Sabatons of Warding,https://hentaiverse.org/isekai/equip/21818/4f04729b7a 
chjj30,Hea07,Magnificent Power Gauntlets of Slaughter,https://hentaiverse.org/isekai/equip/415418/76ebf8c39c
Ming28561,Hea08,Magnificent Cobalt Power Leggings of Protection,https://hentaiverse.org/isekai/equip/379853/4a1a1eae87
Maharid,Hea09,Magnificent Zircon Power Helmet of Protection,https://hentaiverse.org/isekai/equip/378322/ed0e3a0787
drgoku,Hea10,Magnificent Jade Power Gauntlets of Protection,https://hentaiverse.org/isekai/equip/22389/a117e0d2f0 
drgoku,Hea11,Magnificent Power Leggings of Warding,https://hentaiverse.org/isekai/equip/382930/6da44f57ed 
drgoku,Hea12,Magnificent Power Gauntlets of Protection,https://hentaiverse.org/isekai/equip/324171/ed06d9abb7 
Maharid,Hea13,Magnificent Mithril Power Armor of Protection,https://hentaiverse.org/isekai/equip/394890/ca833ae0d8
